Image,Species,Behavior,Shade,Plant,Part,Location,Iguana_and_tortoise_present
cropped/SANTA FE 975/2024-02-21 10-50-13 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2024-01-30 11-36-10 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2024-04-01 06-04-47 M 2_3_crop1.JPG,Tortoise,Walking,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-12-07 12-58-33 M 1_3_crop1.JPG,Iguana,Foraging,Shade,Woody,Trunk,Ground,False
cropped/SANTA FE 905/2024-03-04 10-25-02 M 2_3_crop1.JPG,Iguana,Resting_ground,Sunlight,Grass,NA,Ground,False
cropped/SANTA FE 983/DCIM/100RECNX/RCNX1700_crop1.JPG,Iguana,Resting_elevated,Sunlight,Grass,NA,Ground,False
SANTA FE 983/DCIM/100RECNX/RCNX5203_crop1.JPG,Iguana,Resting_elevated,Shade,Grass,NA,Ground,False
cropped/SANTA FE 976/2023-10-20 10-00-28 M 2_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SANTA FE 983/DCIM/100RECNX/RCNX5180_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 905/2024-04-12 14-14-17 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2023-12-30 11-14-12 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 1001/2024-02-22 12-01-15 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 983/DCIM/100RECNX/RCNX2550_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2023-10-11 08-58-55 M 2_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 975/2024-03-02 12-14-33 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 905/2024-05-03 11-58-30 M 1_3_crop1.JPG,Iguana,Foraging,Shade,Cactus,NA,Ground,False
cropped/SANTA FE 905/2023-08-15 13-30-07 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2023-09-09 11-54-22 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SANTA FE 983/DCIM/100RECNX/RCNX3272_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2023-10-20 09-08-05 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 1001/2024-03-06 10-25-28 M 3_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 905/2024-01-19 14-24-05 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SANTA FE 1001/2024-03-07 15-34-20 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 1001/2023-10-27 11-36-52 M 3_3_crop1.JPG,Iguana,Resting_ground,Shade,Grass,NA,Ground,False
SANTA FE 983/DCIM/100RECNX/RCNX4244_crop1.JPG,Iguana,Territorial_displaying,Unknown,Grass,NA,Ground,False
cropped/SANTA FE 975/2023-08-07 12-11-59 M 2_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 975/2024-03-03 12-03-20 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2023-10-17 07-52-48 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SANTA FE 983/DCIM/100RECNX/RCNX0663_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2023-09-14 09-53-27 M 2_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SANTA FE 983/DCIM/100RECNX/RCNX3929_crop1.JPG,Iguana,Resting_ground,Unknown,Grass,NA,Ground,False
cropped/SANTA FE 975/2024-03-04 12-29-25 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 975/2024-02-25 13-43-45 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
SANTA FE 1001/2023-12-28 15-04-57 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 975/2024-01-11 09-30-32 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
cropped/SANTA FE 976/2024-05-03 10-52-32 M 1_3_crop1.JPG,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED,SKIPPED
